id,name
1,方滨兴
2,北京邮电大学校长
3,计算机系助教/讲师/副教授
4,计算机系教授
5,哈尔滨工业大学计算机与电气工程学院副院长
6,中国国家计算机网络与信息安全管理中心副总工程师
7,国家计算机网络应急技术处理协调中心总工程师/副主任/教授级高级工程师
8,国家计算机网络应急技术处理协调中心主任/总工程师/教授级高级工程师
9,信息产业部互联网应急处理协调办公室主任
10,国家计算机网络与信息安全管理中心名誉主任
11,北京邮电大学校长
12,哈尔滨工业大学计算机系计算机系统结构教研室副主任、主任
13,哈尔滨工业大学网络中心主任
14,中国工程院院士
15,国家计算机网络与信息安全管理中心名誉主任
16,中国网络空间安全协会理事长
17,哈尔滨工业大学（深圳）计算机科学与技术学院教授、首席学术顾问
18,广州大学网络空间先进技术研究院名誉院长
19,哈尔滨工业大学
20,国家计算机网络与信息安全管理中心总工程师、副主任、教授级高级工程师
21,中国科学院计算技术研究所客座研究员、博士生导师、信息安全首席科学家
22,国家计算机网络与信息安全管理中心主任、总工程师、教授级高级工程师、名誉主任
23,国防科学技术大学兼职教授、特聘教授、博士生导师
24,第十一届全国人大第十一届全国人大代表
25,北邮基层人大代表
26,中国科学院信息工程研究所客座研究员、博士生导师
27,中国科学院信息工程研究所学术委员会主任
28,中国网络空间安全协会第一届理事会理事长
29,哈尔滨工业大学计算机系助教/讲师/副教授/教研室副主任
30,哈尔滨工业大学计算机系教授
31,哈尔滨工业大学计算机系博士生导师
32,国家计算机网络应急技术处理协调中心
33,国防科学技术大学
34,哈尔滨工业大学
35,哈尔滨工业大学
36,清华大学
37,中国通信标准化协会理事
38,中国互联网协会副理事长
39,网络与信息安全工作委员会主任
40,中国通信学会学术工作委员会委员
41,清华大学计算机系教授
42,中科院计算所客座研究员/博士生导师/信息安全首席科学家
43,国防科学技术大学教授/博士生导师
44,《通信学报》编辑委员会主任
45,中国计算机学会副理事长/计算机安全专业委员会主任
46,信息产业部通信科学技术委员会常务委员
47,哈尔滨工业大学教授、博士生导师
48,哈尔滨工业大学国家计算机内容安全重点实验室主任
49,“新世纪百千万人才工程国家级人选”评审委员会委员
50,中国科学院计算所客座研究员、博士生导师、信息安全首席科学家
51,《通信学报》编辑委员会主任
52,国家自然科学基金可信软件重大专项专家组副组长
53,计算机安全专业委员会主任
54,哈尔滨工业大学（深圳）计算机学院首席学术顾问
55,中国云安全与新兴技术安全创新联盟理事长
56,教育部网络空间安全学科评议组召集人
57,中国中文信息学会第八届理事会理事长
58,网络与信息安全技术委员会主席
59,专家咨询委员会委员
60,技术管理委员会委员
61,中国下一代互联网示范工程（CNGI）项目专家委员会委员
62,《国家计算机网络与信息安全管理中心科学技术委员会主任
63,上海市互联网宣传管理技术咨询专家
64,北京市公安交通管理局专家顾问团成员
65,北京市信息化专家咨询委员会委员
66,中国网络通信集团公司技术委员会委员
67,财政部“金财工程”专家咨询委员会委员
68,中华人民共和国第十一届全国人民代表大会代表
69,中国电子信息产业集团首席科学家
70,网络与信息安全技术委员会主席/专家咨询委员会委员/技术管理委员会委员
71,通信安全技术委员会主任
72,中国下一代互联网示范工程项目专家委员会委员
73,全国人大信息化系统改造和建设工程专家咨询顾问组成员
74,国家863计划“十一五”信息技术专家委员会委员
75,国家自然科学基金可信软件重大专项专家组副组长
76,国家973计划“信息安全理论及若干关键技术”首席科学家
77,信息产业部通信科学技术委员会常务委员
78,国家计算机网络与信息安全管理中心科学技术委员会主任
79,解放军总后勤部信息化专家咨询委员会委员
80,国家信息安全产品认证管理委员会委员
81,国家信息化专家咨询委员会委员
82,国家应急管理专家组成员
83,公安部信息安全特聘专家
84,“新世纪百千万人才工程国家级人选”评审委员会委员
85,国家信息安全产品认证委员会委员
86,中国网络通信集团公司技术委员会委员
87,国家863计划“十一五”信息技术领域专家委员会委员
88,信息内容安全技术国家工程实验室主任
89,国家八六三计划信息安全主题组专家
90,国家发展改革委信息安全专家咨询组成员
91,哈尔滨工业大学国家计算机内容安全重点实验室主任
92,解放军总后勤部信息化专家咨询委员会委员
93,中国通信学会会士、常务理事
94,清华大学计算机系兼职教授
95,全国人大信息化系统改造和建设工程专家咨询顾问组顾问组成员
96,哈尔滨工业大学教授、博士生导师
97,北京市公安交通管理局专家顾问团成员
98,中国科学院计算所客座研究员、博士生导师、信息安全首席科学家
99,国防科学技术大学特聘教授、博士生导师
100,《通信学报》编辑委员会主任
101,国家自然科学基金可信软件重大专项专家组副组长
102,中国计算机学会副理事长
103,计算机安全专业委员会主任
104,中华人民共和国第十一届全国人民代表大会大会代表
105,哈尔滨工业大学（深圳）计算机学院首席学术顾问
106,中国中文信息学会第八届理事会理事长
107,中国电子信息产业集团首席科学家
108,可信分布式计算与服务教育部重点实验室（北京邮电大学）主任实验室主任
109,中国云安全与新兴技术安全创新联盟理事长
110,教育部网络空间安全学科评议组召集人
111,世界互联网大会《物联网搜索技术》
112,中国共产党
113,男
114,汉族
115,江西省上饶市万年县
116,中国网络空间安全协会理事长
117,2005年当选为中国工程院院士
118,《论网络空间主权》、《在线社交网络分析》
119,"计算机病毒及其对策,通信学报"
120,《论网络空间主权》《在线社交网络分析》
121,黑龙江省哈尔滨市
122,中国
123,1960-7-17
124,学者，教授
125,国家计算机网络应急技术处理协调中心主任
126,计算机科学家、信息安全专家、中国工程院院士
127,科研工作者
128,无
129,Bin xing Fang
130,北京邮电大学校长
131,哈尔滨工业大学，清华大学
132,哈尔滨工业大学
133,国务院政府特殊津贴
134,“先进个人”称号
135,“在信息产业部重点工程中做出突出贡献特等奖先进个人”称号
136,“新世纪百千万人才工程国家级人选”
137,信息产业科技创新先进工作者
138,何梁何利基金科学与技术进步奖
139,中国工程院院士
140,部级科学进步二等奖
141,部级科学进步三等奖
142,杰出人才
143,全国“杰出专业技术人才”荣誉称号
144,国务院政府特殊津贴专家
145,中国信息安全保障突出贡献奖
146,中国互联网年度人物特别贡献奖
147,网络空间安全人才培养存在三个特殊性：一是自身网络安全的特殊性；二是人才特殊性；三是网络空间安全人才培养的特殊性
148,培养硕士与博士生百余名
149,信息安全管理系统
150,大范围宽带网络动态处置系统
151,大规模网络信息获取系统
152,搜索引擎安全管理系统
153,通信数据安全管理系统
154,非常规突发事件中网络舆情作用机制与相关技术研究
155,Web搜索与挖掘的新理论和新方法—支持舆情监控的Web搜索与挖掘的理论与方法研究国家自然科学基金重点研究计划项目
156,Web搜索与挖掘的新理论和新方法—支持舆情监控的Web搜索与挖掘的理论与方法研究
157,网络环境下特定信息获取与处理技术国防科技创新团队项目
158,下一代互联网舆情管理系统应用示范
159,大规模网络入侵定位与容忍
160,信息安全理论及若干关键技术国家973项目
161,非常规突发事件中网络舆情作用机制与相关技术研究国家自然科学基金重大研究计划培育项目
162,《计算机病毒及其对策》
163,《计算机病毒及其防范》
164,"建设网络应急体系,保障网络空间安全"
165,《ECLIPSE MV/8000超级小型机产品介绍》
166,《网和天下 三网融合理论、实验与信息安全》
167,《在线社交网络分析》
168,《论网络空间主权》
169,计算机病毒及其预防技术
170,国家信息安全展略研究
171,大规模网络信息获取系统
172,支持存储器无冲突访问的互连开关门阵列芯片的研制
173,多机系统的性能评价的研究
174,支持存储器无冲突访问的互连开关设计理论及方法
175,ABC-90阵列计算机综合模拟器
176,国家信息安全管理系统
177,支持存储器无冲突访问的互联网络开关门阵列芯片的研制
178,搜索引擎安全管理系统
179,国家通信数据安全管理系统
180,在线社交网络分析关键技术及系统
181,大规模网络安全态势分析关键技术及系统YHSAS
182,计算机安全事件入侵检测
183,国家信息安全基础设施
